filename,mood,confidence,valence,arousal,energy,tempo,avg_rms,avg_dbfs,avg_centroid,dynamic_level,intensity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
07 - Cinematic epic music｜＂The Sword＂｜Copyright free epic music｜FREE Epic Music｜EPIC MUSIC WAVES.mp3,Peaceful / Positive,0.43,0.6257727382256755,0.31004117273766063,0.345199,81.52173913043478,0.07100618,-36.218834,1059.3948093492147,0.06567361,0.74586284,-322.87534,146.5122,1.5381355,23.084047,18.86723,12.6139145,5.702977,8.413394,5.2287927,7.03796,7.1253133,2.407443,2.9991872
02 - INTRIGUE - Most Cinematic Suspense music ever ｜ No Copyright Music ｜ Epic Music Waves.mp3,Neutral / Mixed,0.47,0.6310147006720515,0.4037316943736786,0.38017702,119.68085106382979,0.086298235,-33.188107,1225.2232761922444,0.06831478,0.7850575,-276.03836,163.72226,-2.1945329,12.85188,15.09322,5.176958,-4.047412,-4.1802163,-5.785743,-6.3433104,-7.3293996,-7.763861,-3.7334177
17 - FREE Cinematic Action Background Music ｜ No Copyright Cinematic Background Music ｜ EMW.mp3,Neutral / Mixed,0.35,0.1382484172083685,0.4796486675739288,0.43880945,140.625,0.125087,-25.55177,1190.9239471126089,0.064441316,0.9251794,-244.18172,191.42853,-19.761295,28.440544,19.935268,14.064274,3.8694685,1.4364136,8.874951,0.300753,2.8988624,-4.159626,-2.782597
27 - FREE Emotional Cinematic Background Music ｜ Emotional Cinematic Background Music NO COPYRIGHT • EMW.mp3,Neutral / Mixed,0.47,0.6452209405502467,0.40798905270044195,0.36246565,130.8139534883721,0.11922002,-24.489613,617.6394058874297,0.04527275,0.6986843,-331.8712,208.4845,44.113693,15.7463665,16.216713,11.413285,4.945212,1.4113601,-1.2611461,-3.4815962,-1.749458,-0.5729359,-1.9898683
11 - Cinematic Motivational & Intense Epic music - RAY OF HOPE ｜ Epic Motivational music no copyright.mp3,Peaceful / Positive,0.46,0.6951727865708113,0.3909779071807861,0.29974848,140.625,0.07895945,-31.20567,1300.5173186472412,0.044802807,0.84352404,-259.188,187.18953,-4.6439433,16.280983,8.271355,10.603522,-4.450089,5.061059,1.471592,-0.1663277,1.9401138,-2.0648355,0.5508307
29 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.47,0.06301147879736108,0.588128142639742,0.7492091,95.33898305084746,0.2472623,-18.498116,1382.1607031630551,0.106844194,0.9276318,-156.52376,179.13956,-12.530008,28.746555,9.921129,20.201193,3.608785,7.881865,7.4397163,3.926725,5.7139535,2.355733,3.812918
22 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.5,0.07605320829586065,0.6686831338065011,0.7625675,133.92857142857142,0.25500074,-18.140549,1564.744916142049,0.10160805,0.9391579,-135.99583,180.94421,-34.47534,41.712532,13.258899,14.691933,5.843198,3.8588111,8.36763,4.347901,5.9178824,3.230039,3.1309495
30 - Epic Cinematic Background Music NO COPYRIGHT ｜ FREE Epic Background Music For Videos • EMW.mp3,Neutral / Mixed,0.63,0.6293266104822777,0.6150921761989594,0.65672684,140.625,0.2345688,-18.785124,1398.028504879862,0.07392731,1.0999221,-159.7723,195.51494,-20.106924,43.38645,4.4728603,14.428698,4.2226467,1.9113265,3.0567486,3.8551826,4.7873254,2.484374,4.795641
24 - Motivational Background Music No Copyright ｜ Motivational Cinematic Background Music Royalty FREE.mp3,Neutral / Mixed,0.41,0.051578877550706434,0.5506891695820555,0.6285603,114.79591836734694,0.17717025,-23.11878,1222.10428570989,0.111759596,0.8319143,-193.13551,180.86769,-5.895339,28.252432,14.339481,9.961733,3.9309819,4.456843,6.9935374,1.7354865,5.0866957,1.905221,-1.6084064
abc3.mp3,Neutral / Mixed,0.56,0.5683786657711629,0.5868468934489834,0.5308938,166.70866935483872,0.12243846,-28.664137,1457.3013207962815,0.1028965,0.67074233,-230.91728,165.90894,3.7753124,17.991259,-1.3940719,9.212415,-2.2507067,5.793915,-2.0482984,0.9112572,-1.1866121,1.5259525,0.9379204
